"weight";"word";"color";"url"
"12";"deprive";"";""
"25";"deprived";"";""
"12";"desert";"";""
"25";"deserved";"";""
"0";"desire";"";""
"25";"desires";"";""
"25";"desirous";"";""
"25";"desk";"";""
"0";"desperate";"";""
"25";"desperation";"";""
"5";"despised";"";""
"25";"determination";"";""
"5";"determine";"";""
"25";"devices";"";""
"31";"devil";"";""
"0";"devise";"";""
"25";"devised";"";""
"25";"devoutly";"";""
"10";"dew";"";""
"25";"dews";"";""
"12";"dexterity";"";""
"51";"diadem";"";""
"25";"diction";"";""
"0";"didst";"";""
"0";"die";"";""
"25";"died";"";""
"0";"dies";"";""
"12";"diet";"";""
"51";"dig";"";""
"25";"digested";"";""
"25";"dignity";"";""
"76";"digs";"";""
"25";"dilated";"";""
"25";"dild";"";""
"12";"diligence";"";""
"25";"dip";"";""
"25";"dipping";"";""
"5";"dire";"";""
"21";"direct";"";""
"25";"directions";"";""
"25";"dirge";"";""
"25";"dirty";"";""
"12";"disasters";"";""
"25";"disclaiming";"";""
"12";"disclose";"";""
"25";"discomfort";"";""
"25";"discord";"";""
"51";"discourse";"";""
"25";"discretion";"";""
"12";"diseases";"";""
"25";"dishes";"";""
"51";"dishonor";"";""
"25";"disjoint";"";""
"12";"dislike";"";""
"25";"dismantled";"";""
"5";"dispatch";"";""
"0";"disposition";"";""
"25";"distant";"";""
"25";"distemper";"";""
"12";"distilled";"";""
"51";"distracted";"";""
"25";"distraction";"";""
"25";"distress";"";""
"25";"distrust";"";""
"51";"divide";"";""
"5";"divided";"";""
"5";"divine";"";""
"38";"divinity";"";""
"102";"doctor";"";""
"25";"document";"";""
"0";"dog";"";""
"25";"dominions";"";""
"25";"donned";"";""
"25";"doomed";"";""
"25";"doomsday";"";""
"10";"door";"";""
"0";"doors";"";""
"0";"dost";"";""
"12";"dotes";"";""
"0";"doth";"";""
"0";"double";"";""
"12";"doublet";"";""
"0";"doubt";"";""
"12";"doubtful";"";""
"25";"doubts";"";""
"12";"dove";"";""
"15";"dozen";"";""
"25";"dozy";"";""
"25";"dragged";"";""
"25";"drains";"";""
"5";"dram";"";""
"25";"draughts";"";""
"0";"draw";"";""
"15";"draws";"";""
"26";"dread";"";""
"25";"dreaded";"";""
"0";"dreadful";"";""
"25";"dreadfully";"";""
"21";"dream";"";""
"12";"dreams";"";""
"12";"dreamt";"";""
"38";"drift";"";""
"0";"drink";"";""
"0";"drinks";"";""
"25";"drive";"";""
"12";"driven";"";""
"5";"drop";"";""
"25";"dropping";"";""
"25";"droppings";"";""
"5";"drops";"";""
"25";"drossy";"";""
"63";"drown";"";""
"25";"drowned";"";""
"51";"drowns";"";""
"5";"drugs";"";""
"12";"drum";"";""
"5";"drunk";"";""
"12";"drunkards";"";""
"15";"dry";"";""
"51";"ducats";"";""
"12";"dug";"";""
"0";"dull";"";""
"25";"duller";"";""
"25";"dulls";"";""
"102";"dumb";"";""
"25";"dupped";"";""
"15";"dust";"";""
"5";"duties";"";""
"52";"duty";"";""
"25";"dwelling";"";""
"25";"dye";"";""
"25";"dying";"";""
"51";"eager";"";""
"0";"ear";"";""
"5";"earnest";"";""
"26";"ears";"";""
"0";"earth";"";""
"25";"earthly";"";""
"10";"ease";"";""
"25";"easier";"";""
"12";"easily";"";""
"25";"easiness";"";""
"5";"east";"";""
"25";"eastward";"";""
"12";"easy";"";""
"21";"eat";"";""
"5";"eats";"";""
"76";"ecstasy";"";""
"51";"edge";"";""
"12";"edified";"";""
"25";"edited";"";""
"12";"effects";"";""
"12";"elder";"";""
"12";"eldest";"";""
"38";"election";"";""
"25";"eloquent";"";""
"25";"embrace";"";""
"25";"embracing";"";""
"25";"emperor";"";""
"51";"empire";"";""
"12";"employ";"";""
"12";"employment";"";""
"25";"emulate";"";""
"25";"enact";"";""
"25";"enactures";"";""
"25";"encompassment";"";""
"25";"encorpsed";"";""
"12";"encounter";"";""
"25";"encumbered";"";""
"25";"endeavor";"";""
"5";"ends";"";""
"25";"endued";"";""
"0";"endure";"";""
"0";"enemy";"";""
"25";"enginer";"";""
"204";"england";"";""
"25";"english";"";""
"25";"enlarged";"";""
"12";"enmity";"";""
"25";"enseamed";"";""
"42";"enter";"";""
"25";"enterprise";"";""
"25";"enterprises";"";""
"51";"entertainment";"";""
"12";"entrance";"";""
"0";"entreat";"";""
"12";"entreated";"";""
"25";"entreatments";"";""
"25";"envenom";"";""
"25";"envenomed";"";""
"12";"envious";"";""
"25";"enviously";"";""
"51";"envy";"";""
"51";"epitaph";"";""
"51";"equal";"";""
"25";"equivocation";"";""
"0";"ere";"";""
"12";"erring";"";""
"25";"errors";"";""
"25";"eruption";"";""
"10";"escape";"";""
"12";"especial";"";""
"25";"essentially";"";""
"25";"estate";"";""
"25";"esteemed";"";""
"25";"estimation";"";""
"10";"eternal";"";""
"25";"event";"";""
"12";"everlasting";"";""
"25";"evil";"";""
"12";"exact";"";""
"12";"examples";"";""
"12";"exceed";"";""
"51";"excellence";"";""
"0";"excellent";"";""
"25";"exception";"";""
"0";"exchange";"";""
"25";"excitements";"";""
"12";"exclaim";"";""
"25";"exercise";"";""
"25";"exhort";"";""
"10";"exit";"";""
"25";"exits";"";""
"12";"expectancy";"";""
"51";"expel";"";""
"12";"expend";"";""
"25";"exposing";"";""
"12";"expostulate";"";""
"38";"express";"";""
"25";"expressed";"";""
"25";"extant";"";""
"25";"extent";"";""
"25";"exterior";"";""
"25";"extinct";"";""
"25";"extorted";"";""
"12";"extravagant";"";""
"12";"extremity";"";""
"0";"eye";"";""
"25";"eyelids";"";""
"0";"eyes";"";""
"0";"face";"";""
"25";"faces";"";""
"25";"faction";"";""
"25";"faculties";"";""
"25";"faded";"";""
"25";"failed";"";""
"0";"fain";"";""
"0";"fair";"";""
"25";"fairy";"";""
"25";"faithful";"";""
"0";"fall";"";""
"51";"falling";"";""
"0";"falls";"";""
"31";"false";"";""
"25";"falsehood";"";""
"12";"falsely";"";""
"25";"fame";"";""
"25";"famous";"";""
"12";"fancy";"";""
"25";"fanned";"";""
"25";"fantastic";"";""
"51";"fantasy";"";""
"25";"fardels";"";""
"76";"fare";"";""
"10";"fares";"";""
"0";"farewell";"";""
"51";"farm";"";""
"31";"fashion";"";""
"10";"fast";"";""
"153";"fat";"";""
"5";"fate";"";""
"51";"fates";"";""
"0";"father";"";""
"25";"fathoms";"";""
"25";"fatness";"";""
"25";"fatted";"";""
"0";"fault";"";""
"10";"faults";"";""
"76";"favor";"";""
"25";"favorite";"";""
"25";"fdt";"";""
"0";"fear";"";""
"51";"feared";"";""
"0";"fearful";"";""
"25";"fearing";"";""
"10";"fears";"";""
"25";"feast";"";""
"25";"feathers";"";""
"25";"fed";"";""
"5";"fee";"";""
"63";"feed";"";""
"12";"feeds";"";""
"0";"feel";"";""
"10";"feeling";"";""
"25";"feelingly";"";""
"12";"feels";"";""
"25";"felicity";"";""
"42";"fell";"";""
"25";"fellies";"";""
"37";"fellow";"";""
"0";"fellows";"";""
"12";"fellowship";"";""
"12";"female";"";""
"25";"fennel";"";""
"0";"fetch";"";""
"25";"fetters";"";""
"15";"fie";"";""
"12";"field";"";""
"15";"fiery";"";""
"25";"fight";"";""
"25";"fighting";"";""
"15";"figure";"";""
"12";"filial";"";""
"25";"film";"";""
"10";"finding";"";""
"15";"finds";"";""
"0";"fine";"";""
"25";"fines";"";""
"5";"finger";"";""
"25";"fingered";"";""
"15";"fingers";"";""
"25";"fires";"";""
"12";"firm";"";""
"25";"fish";"";""
"0";"fit";"";""
