n;k;m
760;100;162
761;100;161
762;100;169
763;100;166
764;100;157
765;100;164
766;100;164
767;100;163
768;100;160
769;100;161
770;100;166
771;100;167
772;100;166
773;100;157
774;100;161
775;100;167
776;100;159
777;100;175
778;100;169
779;100;159
780;100;162
781;100;165
782;100;163
783;100;161
784;100;170
785;100;164
786;100;168
787;100;166
788;100;167
789;100;165
790;100;163
791;100;169
792;100;163
793;100;163
794;100;171
795;100;167
796;100;163
797;100;167
798;100;166
799;100;166
800;100;165
801;100;174
802;100;172
803;100;171
804;100;167
805;100;159
806;100;172
807;100;167
808;100;164
809;100;165
810;100;162
811;100;167
812;100;163
813;100;157
814;100;171
815;100;165
816;100;162
817;100;161
818;100;163
819;100;169
820;100;167
821;100;166
822;100;164
823;100;165
824;100;170
825;100;165
826;100;167
827;100;163
828;100;163
829;100;173
830;100;168
831;100;167
832;100;165
833;100;171
834;100;164
835;100;169
836;100;165
837;100;178
838;100;168
839;100;165
840;100;168
841;100;169
842;100;173
843;100;177
844;100;161
845;100;170
846;100;168
847;100;172
848;100;171
849;100;172
850;100;167
851;100;170
852;100;172
853;100;165
854;100;167
855;100;174
856;100;164
857;100;171
858;100;170
859;100;178
860;100;159
861;100;169
862;100;168
863;100;166
864;100;166
865;100;170
866;100;173
867;100;168
868;100;173
869;100;166
870;100;168
871;100;174
872;100;167
873;100;175
874;100;173
875;100;170
876;100;173
877;100;168
878;100;170
879;100;164
880;100;166
881;100;174
882;100;169
883;100;167
884;100;168
885;100;171
886;100;166
887;100;171
888;100;172
889;100;169
890;100;164
891;100;171
892;100;173
893;100;174
894;100;164
895;100;178
896;100;171
897;100;166
898;100;169
899;100;172
900;100;175
901;100;169
902;100;174
903;100;181
904;100;167
905;100;169
906;100;168
907;100;180
908;100;171
909;100;178
910;100;172
911;100;172
912;100;175
913;100;169
914;100;170
915;100;174
916;100;171
917;100;173
918;100;171
919;100;168
920;100;174
921;100;176
922;100;176
923;100;175
924;100;171
925;100;176
926;100;162
927;100;165
928;100;175
929;100;171
930;100;171
931;100;167
932;100;171
933;100;179
934;100;180
935;100;173
936;100;169
937;100;173
938;100;181
939;100;175
940;100;180
941;100;170
942;100;175
943;100;171
944;100;172
945;100;174
946;100;183
947;100;175
948;100;175
949;100;177
950;100;180
951;100;167
952;100;171
953;100;173
954;100;178
955;100;178
956;100;169
957;100;179
958;100;171
959;100;179
960;100;174
961;100;178
962;100;179
963;100;174
964;100;174
965;100;181
966;100;181
967;100;170
968;100;182
969;100;174
970;100;184
971;100;174
972;100;177
973;100;172
974;100;177
975;100;172
976;100;174
977;100;174
978;100;170
979;100;174
980;100;173
981;100;183
982;100;179
983;100;177
984;100;171
985;100;175
986;100;180
987;100;172
988;100;173
989;100;174
990;100;182
991;100;174
992;100;180
993;100;176
994;100;180
995;100;175
996;100;177
997;100;176
998;100;177
999;100;178
1000;100;170
1001;100;181
1002;100;167
