n;k;m
843;100;248
844;100;246
845;100;246
846;100;243
847;100;243
848;100;250
849;100;255
850;100;246
851;100;241
852;100;239
853;100;248
854;100;250
855;100;253
856;100;250
857;100;243
858;100;250
859;100;250
860;100;248
861;100;246
862;100;250
863;100;241
864;100;243
865;100;248
866;100;253
867;100;253
868;100;236
869;100;241
870;100;248
871;100;248
872;100;250
873;100;250
874;100;241
875;100;246
876;100;253
877;100;243
878;100;248
879;100;250
880;100;253
881;100;243
882;100;248
883;100;248
884;100;246
885;100;246
886;100;248
887;100;246
888;100;246
889;100;250
890;100;255
891;100;253
892;100;248
893;100;246
894;100;246
895;100;248
896;100;248
897;100;243
898;100;241
899;100;241
900;100;250
901;100;246
902;100;241
903;100;243
904;100;246
905;100;248
906;100;248
907;100;243
908;100;253
909;100;248
910;100;250
911;100;250
912;100;250
913;100;248
914;100;246
915;100;246
916;100;255
917;100;246
918;100;246
919;100;246
920;100;255
921;100;246
922;100;250
923;100;243
924;100;250
925;100;248
926;100;253
927;100;239
928;100;250
929;100;253
930;100;246
931;100;253
932;100;250
933;100;246
934;100;250
935;100;250
936;100;250
937;100;246
938;100;253
939;100;241
940;100;253
941;100;243
942;100;255
943;100;255
944;100;250
945;100;253
946;100;250
947;100;246
948;100;253
949;100;253
950;100;243
951;100;250
952;100;253
953;100;250
954;100;255
955;100;248
956;100;246
957;100;255
958;100;253
959;100;253
960;100;246
961;100;248
962;100;243
963;100;248
964;100;248
965;100;255
966;100;250
967;100;248
968;100;250
969;100;255
970;100;250
971;100;248
972;100;250
973;100;250
974;100;250
975;100;248
976;100;250
977;100;248
978;100;246
979;100;246
980;100;246
981;100;246
982;100;243
983;100;246
984;100;246
985;100;250
986;100;253
987;100;248
988;100;250
989;100;253
990;100;250
991;100;255
992;100;255
993;100;250
994;100;246
995;100;250
996;100;253
997;100;253
998;100;250
999;100;250
1000;100;250
1001;100;255
1002;100;248
1003;100;250
1004;100;248
1005;100;250
1006;100;255
1007;100;243
1008;100;246
1009;100;253
1010;100;239
1011;100;248
1012;100;253
1013;100;250
1014;100;250
1015;100;253
1016;100;243
1017;100;250
1018;100;255
1019;100;250
1020;100;248
1021;100;248
1022;100;248
1023;100;243
1024;100;255
1025;100;248
1026;100;253
1027;100;248
1028;100;255
1029;100;253
1030;100;253
1031;100;248
1032;100;243
1033;100;255
1034;100;248
1035;100;255
1036;100;255
1037;100;243
1038;100;253
1039;100;253
1040;100;250
1041;100;250
1042;100;253
1043;100;253
1044;100;253
1045;100;250
1046;100;248
1047;100;253
1048;100;253
1049;100;248
1050;100;250
1051;100;253
1052;100;255
1053;100;255
1054;100;253
1055;100;253
1056;100;246
1057;100;248
1058;100;255
1059;100;250
1060;100;246
1061;100;253
1062;100;255
1063;100;253
1064;100;253
1065;100;248
1066;100;255
1067;100;253
1068;100;248
1069;100;248
1070;100;255
1071;100;253
1072;100;248
1073;100;253
1074;100;253
1075;100;253
1076;100;250
1077;100;253
1078;100;253
1079;100;255
1080;100;253
1081;100;255
1082;100;253
1083;100;253
1084;100;250
1085;100;253
1086;100;255
1087;100;248
1088;100;253
1089;100;255
1090;100;253
1091;100;253
1092;100;253
1093;100;246
1094;100;255
1095;100;253
1096;100;250
1097;100;255
1098;100;250
1099;100;250
1100;100;248
1101;100;255
1102;100;246
1103;100;255
1104;100;253
1105;100;253
1106;100;253
1107;100;250
1108;100;253
1109;100;248
1110;100;255
1111;100;255
1112;100;253
1113;100;255
1114;100;250
1115;100;255
1116;100;250
1117;100;253
1118;100;255
1119;100;253
1120;100;253
1121;100;255
1122;100;253
1123;100;255
1124;100;248
1125;100;250
1126;100;255
1127;100;253
1128;100;253
1129;100;253
1130;100;255
1131;100;253
1132;100;253
1133;100;250
1134;100;250
1135;100;248
1136;100;255
1137;100;250
1138;100;248
1139;100;255
1140;100;253
1141;100;248
1142;100;253
1143;100;250
1144;100;246
1145;100;253
1146;100;255
1147;100;250
1148;100;255
1149;100;253
1150;100;250
1151;100;250
1152;100;255
1153;100;250
1154;100;255
1155;100;253
1156;100;250
1157;100;255
1158;100;253
1159;100;250
1160;100;253
1161;100;255
1162;100;250
1163;100;250
1164;100;253
1165;100;243
1166;100;255
1167;100;250
1168;100;250
1169;100;255
1170;100;255
1171;100;253
1172;100;250
1173;100;255
1174;100;253
1175;100;255
1176;100;253
1177;100;250
1178;100;255
1179;100;255
1180;100;253
1181;100;255
1182;100;253
1183;100;253
1184;100;255
1185;100;253
1186;100;253
1187;100;255
1188;100;253
1189;100;246
1190;100;253
1191;100;255
1192;100;253
1193;100;255
1194;100;253
1195;100;255
1196;100;255
1197;100;250
1198;100;250
1199;100;253
1200;100;255
1201;100;253
1202;100;253
1203;100;250
1204;100;253
1205;100;250
1206;100;255
1207;100;253
1208;100;253
1209;100;253
1210;100;253
1211;100;253
1212;100;250
1213;100;253
1214;100;255
1215;100;255
1216;100;253
1217;100;253
1218;100;255
1219;100;246
1220;100;253
1221;100;253
1222;100;255
1223;100;253
1224;100;255
1225;100;255
1226;100;250
1227;100;250
1228;100;253
1229;100;255
1230;100;253
1231;100;253
1232;100;250
1233;100;253
1234;100;253
1235;100;255
1236;100;253
1237;100;253
1238;100;255
1239;100;253
1240;100;253
1241;100;253
1242;100;253
1243;100;255
1244;100;255
1245;100;255
1246;100;250
1247;100;255
1248;100;250
1249;100;255
1250;100;255
1251;100;255
1252;100;255
1253;100;255
1254;100;255
1255;100;255
1256;100;255
1257;100;255
1258;100;253
1259;100;250
1260;100;253
1261;100;253
1262;100;255
1263;100;253
1264;100;253
1265;100;255
1266;100;253
1267;100;253
1268;100;253
1269;100;255
1270;100;255
1271;100;253
1272;100;250
1273;100;253
1274;100;255
1275;100;250
1276;100;255
1277;100;248
1278;100;250
1279;100;255
1280;100;255
1281;100;253
1282;100;255
1283;100;250
1284;100;255
1285;100;253
1286;100;253
1287;100;255
1288;100;250
1289;100;255
1290;100;253
1291;100;253
1292;100;253
1293;100;253
1294;100;255
1295;100;253
1296;100;255
1297;100;255
1298;100;255
1299;100;255
1300;100;248
1301;100;255
1302;100;255
1303;100;253
1304;100;255
1305;100;253
1306;100;253
1307;100;253
1308;100;250
1309;100;255
1310;100;253
1311;100;253
1312;100;253
1313;100;255
1314;100;255
1315;100;253
1316;100;255
1317;100;255
1318;100;255
1319;100;255
1320;100;255
1321;100;255
1322;100;255
1323;100;255
1324;100;255
1325;100;253
1326;100;253
1327;100;253
1328;100;255
1329;100;255
1330;100;255
1331;100;255
1332;100;253
1333;100;255
1334;100;250
1335;100;255
1336;100;255
1337;100;253
1338;100;253
1339;100;253
1340;100;255
1341;100;255
1342;100;255
1343;100;255
1344;100;253
1345;100;248
1346;100;255
1347;100;253
1348;100;255
1349;100;255
1350;100;250
1351;100;255
1352;100;253
1353;100;253
1354;100;253
1355;100;253
1356;100;255
1357;100;255
1358;100;255
1359;100;255
1360;100;253
1361;100;255
1362;100;255
1363;100;253
1364;100;255
1365;100;255
1366;100;253
1367;100;255
1368;100;255
1369;100;255
1370;100;255
1371;100;253
1372;100;255
1373;100;255
1374;100;255
1375;100;255
1376;100;255
1377;100;255
1378;100;253
1379;100;255
1380;100;255
1381;100;255
1382;100;255
1383;100;255
1384;100;255
1385;100;255
1386;100;255
1387;100;253
1388;100;253
1389;100;255
1390;100;253
1391;100;253
1392;100;253
1393;100;255
1394;100;255
1395;100;255
1396;100;255
1397;100;253
1398;100;255
1399;100;255
1400;100;255
1401;100;253
1402;100;255
1403;100;255
1404;100;253
1405;100;255
1406;100;255
1407;100;255
1408;100;255
1409;100;253
1410;100;255
1411;100;255
1412;100;253
1413;100;255
1414;100;255
1415;100;255
1416;100;253
1417;100;255
1418;100;255
1419;100;253
1420;100;255
1421;100;255
1422;100;253
1423;100;255
1424;100;255
1425;100;255
1426;100;255
1427;100;255
1428;100;255
1429;100;255
1430;100;255
1431;100;255
1432;100;255
1433;100;255
1434;100;253
