n;k;m
993;100;3925
994;100;4438
995;100;3950
996;100;3533
997;100;4142
998;100;4293
999;100;4259
1000;100;4171
1001;100;4109
1002;100;4881
1003;100;3809
1004;100;3876
1005;100;3710
1006;100;3475
1007;100;3691
1008;100;4066
1009;100;4607
1010;100;3995
1011;100;3787
1012;100;3955
1013;100;3431
1014;100;3524
1015;100;3616
1016;100;3888
1017;100;3898
1018;100;4184
1019;100;4126
1020;100;3682
1021;100;3518
1022;100;4309
1023;100;3970
1024;100;3786
1025;100;4165
1026;100;3654
1027;100;3685
1028;100;4240
1029;100;4857
1030;100;3699
1031;100;3981
1032;100;4044
1033;100;3148
1034;100;3827
1035;100;3520
1036;100;3818
1037;100;4322
1038;100;4168
1039;100;3941
1040;100;3813
1041;100;4641
1042;100;4614
1043;100;3923
1044;100;3804
1045;100;3524
1046;100;3775
1047;100;4337
1048;100;3955
1049;100;4531
1050;100;4129
1051;100;4244
1052;100;4164
1053;100;4029
1054;100;3784
1055;100;3510
1056;100;4550
1057;100;3688
1058;100;3787
1059;100;4777
1060;100;4977
1061;100;4522
1062;100;4137
1063;100;4044
1064;100;4129
1065;100;3248
1066;100;3971
1067;100;4623
1068;100;3608
1069;100;4437
1070;100;3622
1071;100;3690
1072;100;3948
1073;100;4137
1074;100;4178
1075;100;3898
1076;100;4656
1077;100;4426
1078;100;3801
1079;100;3978
1080;100;4097
1081;100;3691
1082;100;4112
1083;100;4341
1084;100;4035
1085;100;4312
1086;100;4443
1087;100;4386
1088;100;4505
1089;100;4672
1090;100;3729
1091;100;4437
1092;100;4302
1093;100;3528
1094;100;4560
1095;100;4753
1096;100;4670
1097;100;3592
1098;100;4384
1099;100;4086
1100;100;4255
1101;100;4103
1102;100;3694
1103;100;4016
1104;100;3878
1105;100;3561
1106;100;4572
1107;100;4244
1108;100;3889
1109;100;4144
1110;100;4191
1111;100;4146
1112;100;5358
1113;100;4465
1114;100;4351
1115;100;4112
1116;100;4358
1117;100;3834
1118;100;4304
1119;100;4370
1120;100;3949
1121;100;4432
1122;100;4696
1123;100;4614
1124;100;4584
1125;100;4698
1126;100;5309
1127;100;3945
1128;100;3099
1129;100;4592
1130;100;4330
1131;100;5034
1132;100;4900
1133;100;4455
1134;100;4053
1135;100;4505
1136;100;4613
1137;100;4440
1138;100;4715
1139;100;4771
1140;100;3787
1141;100;4330
1142;100;3857
1143;100;4395
1144;100;4558
1145;100;4843
1146;100;4713
1147;100;4989
1148;100;4158
1149;100;4271
1150;100;6027
1151;100;4712
1152;100;4205
1153;100;5035
1154;100;4512
1155;100;4097
1156;100;4033
1157;100;4273
1158;100;4344
1159;100;5031
1160;100;5501
1161;100;4272
1162;100;4450
1163;100;4531
1164;100;4639
1165;100;4496
1166;100;4224
1167;100;4590
1168;100;4111
1169;100;4051
1170;100;4716
1171;100;4142
1172;100;5075
1173;100;4368
1174;100;3894
1175;100;4606
1176;100;4185
1177;100;4381
1178;100;4560
1179;100;4401
1180;100;4585
1181;100;4911
1182;100;4397
1183;100;4033
1184;100;4048
1185;100;4596
1186;100;4715
1187;100;5376
1188;100;4250
1189;100;4187
1190;100;4277
1191;100;4637
1192;100;4070
1193;100;5131
1194;100;4173
1195;100;4337
1196;100;5097
1197;100;4794
1198;100;4462
1199;100;4985
1200;100;5341
1201;100;4904
1202;100;5488
1203;100;4761
1204;100;4537
1205;100;4341
1206;100;5170
1207;100;4742
1208;100;5128
1209;100;3969
1210;100;4266
1211;100;5153
1212;100;4926
1213;100;3993
1214;100;3997
1215;100;4557
1216;100;4758
1217;100;4494
1218;100;4796
1219;100;4944
1220;100;4746
1221;100;4972
1222;100;5428
1223;100;4385
1224;100;5034
1225;100;5398
1226;100;5359
1227;100;3859
1228;100;5195
1229;100;4274
1230;100;5303
1231;100;4335
1232;100;4768
1233;100;4939
1234;100;4435
1235;100;5363
1236;100;5047
1237;100;5391
1238;100;4334
1239;100;4707
1240;100;4592
1241;100;4209
1242;100;4716
1243;100;5208
1244;100;5351
1245;100;4862
1246;100;4459
1247;100;4291
1248;100;4951
1249;100;4374
1250;100;4777
1251;100;4448
1252;100;4490
1253;100;5044
1254;100;5458
1255;100;5010
1256;100;6348
1257;100;4589
1258;100;4783
1259;100;4756
1260;100;5135
1261;100;4599
1262;100;5799
1263;100;4285
1264;100;5534
1265;100;5003
1266;100;4328
1267;100;4976
1268;100;5813
1269;100;4874
1270;100;4844
1271;100;5019
1272;100;5165
1273;100;4832
1274;100;5093
1275;100;5375
1276;100;4557
1277;100;5090
1278;100;4655
1279;100;5418
1280;100;4681
1281;100;4686
1282;100;5467
1283;100;5430
1284;100;4558
1285;100;4679
1286;100;4840
1287;100;4275
1288;100;4751
1289;100;5417
1290;100;4816
1291;100;5487
1292;100;4794
1293;100;5418
1294;100;4746
1295;100;5454
1296;100;4712
1297;100;5476
1298;100;4125
1299;100;5235
1300;100;4836
1301;100;4630
1302;100;5178
1303;100;5388
1304;100;5057
1305;100;4571
1306;100;4728
1307;100;5144
1308;100;4495
1309;100;4631
1310;100;3747
1311;100;4653
1312;100;5555
1313;100;4832
1314;100;5106
1315;100;4985
1316;100;4640
1317;100;5265
1318;100;4869
1319;100;4352
1320;100;5143
1321;100;4713
1322;100;5439
1323;100;4895
1324;100;5467
1325;100;5440
1326;100;4986
1327;100;5693
1328;100;4971
1329;100;4759
1330;100;4363
1331;100;4336
1332;100;5622
1333;100;4467
1334;100;5754
1335;100;6583
1336;100;5621
1337;100;5383
1338;100;5234
1339;100;4425
1340;100;5972
1341;100;6309
1342;100;5172
1343;100;5183
1344;100;5548
1345;100;5805
1346;100;5436
1347;100;5910
1348;100;5095
1349;100;5620
1350;100;5792
1351;100;5394
1352;100;4511
1353;100;5602
1354;100;4556
1355;100;5315
1356;100;5063
1357;100;5407
1358;100;5459
1359;100;4751
1360;100;5054
1361;100;5228
1362;100;5185
1363;100;4688
1364;100;6313
1365;100;4390
1366;100;5252
1367;100;6394
1368;100;6276
1369;100;5184
1370;100;4942
1371;100;5076
1372;100;5389
1373;100;5250
1374;100;5451
1375;100;7193
1376;100;5831
1377;100;5512
1378;100;4797
1379;100;5795
1380;100;5908
1381;100;4811
1382;100;4545
1383;100;5097
1384;100;5841
1385;100;5567
1386;100;5061
1387;100;5611
1388;100;5530
1389;100;6606
1390;100;5991
1391;100;4993
1392;100;5125
1393;100;4870
1394;100;4779
1395;100;5469
1396;100;5263
1397;100;6051
1398;100;5806
1399;100;6185
1400;100;4621
1401;100;4883
1402;100;6032
1403;100;5709
1404;100;4919
1405;100;5688
1406;100;5460
1407;100;4903
1408;100;4843
1409;100;6464
1410;100;5686
1411;100;5113
1412;100;4896
1413;100;5127
1414;100;6083
1415;100;5511
1416;100;5867
1417;100;5915
1418;100;5274
1419;100;4573
1420;100;6038
1421;100;5879
1422;100;5698
1423;100;6377
1424;100;5715
1425;100;5023
1426;100;5123
1427;100;4506
1428;100;5508
1429;100;5559
1430;100;5223
1431;100;5766
1432;100;5501
1433;100;5428
1434;100;5326
1435;100;5400
1436;100;5080
1437;100;6080
1438;100;5824
1439;100;5274
1440;100;6541
1441;100;4993
1442;100;5043
1443;100;4877
1444;100;5572
1445;100;6007
1446;100;6110
1447;100;4804
1448;100;6344
1449;100;6233
1450;100;4714
1451;100;5245
1452;100;6121
1453;100;5166
1454;100;5292
1455;100;5809
1456;100;5473
1457;100;6150
1458;100;6054
1459;100;6469
1460;100;5374
1461;100;5089
1462;100;6060
1463;100;5239
1464;100;5704
1465;100;5298
1466;100;5179
1467;100;5905
1468;100;4794
1469;100;5652
1470;100;6016
1471;100;5895
1472;100;6189
1473;100;5246
1474;100;4827
1475;100;5690
1476;100;5457
1477;100;6413
1478;100;5715
1479;100;4996
1480;100;4930
1481;100;5199
1482;100;4804
1483;100;5254
1484;100;4643
1485;100;6587
1486;100;5821
1487;100;6009
1488;100;5763
1489;100;7159
1490;100;5488
1491;100;5911
1492;100;5563
1493;100;6205
1494;100;6603
1495;100;5315
1496;100;5973
1497;100;5123
1498;100;5824
1499;100;5895
1500;100;5809
1501;100;5172
1502;100;5435
1503;100;5927
1504;100;6312
1505;100;6436
1506;100;6214
1507;100;5971
1508;100;6263
1509;100;6231
1510;100;5177
1511;100;5830
1512;100;5676
1513;100;5387
1514;100;6023
1515;100;6655
1516;100;5347
1517;100;6277
1518;100;5588
1519;100;6425
1520;100;6095
1521;100;5813
1522;100;6085
1523;100;6147
1524;100;4791
1525;100;6147
1526;100;5423
1527;100;5074
1528;100;5603
1529;100;6185
1530;100;5664
1531;100;6149
1532;100;6199
1533;100;6721
1534;100;5880
1535;100;5056
1536;100;5634
1537;100;6206
1538;100;5677
1539;100;5322
1540;100;5694
1541;100;5547
1542;100;7056
1543;100;6680
1544;100;5411
1545;100;6972
1546;100;6918
1547;100;5619
1548;100;4906
1549;100;6560
1550;100;5883
1551;100;5252
1552;100;5638
1553;100;4926
1554;100;6112
1555;100;6747
1556;100;6367
1557;100;6760
1558;100;6042
1559;100;6518
1560;100;6720
1561;100;5339
1562;100;6693
1563;100;5481
1564;100;5984
1565;100;6629
1566;100;6202
1567;100;5955
1568;100;6915
1569;100;7018
1570;100;5991
1571;100;6488
1572;100;6631
1573;100;6354
1574;100;6857
1575;100;5750
1576;100;6197
1577;100;4596
1578;100;6210
1579;100;7471
1580;100;4964
1581;100;5739
1582;100;6086
1583;100;5843
1584;100;6530
1585;100;6155
1586;100;6531
1587;100;5979
1588;100;6290
1589;100;5856
1590;100;6680
1591;100;6402
1592;100;6392
1593;100;7698
1594;100;6805
1595;100;6472
1596;100;5594
1597;100;7002
1598;100;6206
1599;100;6467
1600;100;5956
1601;100;6655
1602;100;6853
1603;100;6567
1604;100;7817
1605;100;5402
1606;100;5361
1607;100;7337
1608;100;5316
1609;100;5716
1610;100;5530
1611;100;6837
1612;100;6188
1613;100;5858
1614;100;7429
1615;100;6849
1616;100;6179
1617;100;5857
1618;100;6252
1619;100;7161
1620;100;6414
1621;100;6012
1622;100;6476
1623;100;6624
1624;100;4944
1625;100;6336
1626;100;6702
1627;100;8000
1628;100;7262
1629;100;5849
1630;100;6191
1631;100;7212
1632;100;7184
1633;100;6023
1634;100;5600
1635;100;7529
1636;100;6464
1637;100;5726
1638;100;6248
1639;100;6708
1640;100;6862
1641;100;7019
1642;100;6751
1643;100;5913
1644;100;6535
1645;100;6354
1646;100;5843
1647;100;5730
1648;100;6528
1649;100;5934
1650;100;7003
1651;100;5982
1652;100;6793
1653;100;5708
1654;100;5658
1655;100;6266
1656;100;6284
1657;100;5980
1658;100;7265
1659;100;8125
1660;100;7313
1661;100;7459
1662;100;6327
1663;100;6563
1664;100;5806
1665;100;6049
1666;100;6342
1667;100;7550
1668;100;5131
1669;100;5750
1670;100;6653
1671;100;6525
1672;100;6509
1673;100;6465
1674;100;6303
1675;100;6871
1676;100;5235
1677;100;6504
1678;100;6980
1679;100;5874
1680;100;5612
1681;100;6200
1682;100;7187
1683;100;6584
1684;100;6424
1685;100;6149
1686;100;6525
1687;100;5656
1688;100;5327
1689;100;5641
1690;100;6839
1691;100;7515
1692;100;7180
1693;100;6180
1694;100;6033
1695;100;7467
1696;100;6228
1697;100;7204
1698;100;6714
1699;100;6967
1700;100;6301
1701;100;7341
1702;100;6380
1703;100;6144
1704;100;7555
1705;100;6782
1706;100;5562
1707;100;7657
1708;100;7293
1709;100;6735
1710;100;6686
1711;100;6850
1712;100;6061
1713;100;6703
1714;100;6461
1715;100;5843
1716;100;6469
1717;100;8386
1718;100;6114
1719;100;5580
1720;100;6859
1721;100;7212
1722;100;7420
1723;100;6460
1724;100;6267
1725;100;7412
1726;100;6558
1727;100;6649
1728;100;5980
1729;100;7536
1730;100;6515
1731;100;6639
1732;100;7480
1733;100;7043
1734;100;6764
1735;100;6064
1736;100;6505
1737;100;5641
1738;100;8901
1739;100;6462
1740;100;7145
1741;100;7079
1742;100;6788
1743;100;6819
1744;100;6579
1745;100;6527
1746;100;8246
1747;100;7528
1748;100;6661
1749;100;5626
1750;100;5511
1751;100;6181
1752;100;7855
1753;100;6633
1754;100;6200
1755;100;6229
1756;100;5427
1757;100;6461
1758;100;6468
1759;100;6885
1760;100;7468
1761;100;6958
1762;100;7708
1763;100;6089
1764;100;7717
1765;100;7161
1766;100;6648
1767;100;6331
1768;100;6420
1769;100;6996
1770;100;7383
1771;100;7123
1772;100;7999
1773;100;6913
1774;100;7459
1775;100;6927
1776;100;6906
1777;100;6188
1778;100;7242
1779;100;6511
1780;100;7658
1781;100;6886
1782;100;6249
1783;100;7184
1784;100;7844
1785;100;6575
1786;100;6987
1787;100;7442
1788;100;7435
1789;100;6536
1790;100;6655
1791;100;7745
1792;100;7502
1793;100;6854
1794;100;7043
1795;100;7430
1796;100;8566
1797;100;6510
1798;100;8396
1799;100;6747
1800;100;6328
1801;100;7713
1802;100;8140
1803;100;7040
1804;100;7539
1805;100;6600
1806;100;7123
1807;100;6241
1808;100;7354
1809;100;7378
1810;100;8140
1811;100;7092
1812;100;6941
1813;100;6823
1814;100;6683
1815;100;7219
1816;100;6000
1817;100;6698
1818;100;6667
1819;100;7114
1820;100;6668
1821;100;7376
1822;100;6767
1823;100;7912
1824;100;7296
1825;100;6341
1826;100;7681
1827;100;7574
1828;100;6499
1829;100;8077
1830;100;7066
1831;100;6327
1832;100;8160
1833;100;5963
1834;100;8223
1835;100;6945
1836;100;8595
1837;100;7882
1838;100;6669
1839;100;6988
1840;100;6748
1841;100;7252
1842;100;7465
1843;100;7942
1844;100;7286
1845;100;6680
1846;100;8182
1847;100;6004
1848;100;7412
1849;100;7666
1850;100;6774
1851;100;8165
1852;100;6814
1853;100;8034
1854;100;6550
1855;100;7309
1856;100;6944
1857;100;7867
1858;100;7334
1859;100;8546
1860;100;7413
1861;100;7802
1862;100;6855
1863;100;7342
1864;100;8025
1865;100;6647
1866;100;6991
1867;100;6435
1868;100;6534
1869;100;6481
1870;100;7248
1871;100;6978
1872;100;7378
1873;100;7995
1874;100;7415
1875;100;7471
1876;100;6376
1877;100;8420
1878;100;6913
1879;100;7357
1880;100;7502
1881;100;6777
1882;100;6913
1883;100;7032
1884;100;7076
1885;100;6283
1886;100;7387
1887;100;8253
1888;100;9572
1889;100;7499
1890;100;8686
1891;100;6516
1892;100;7715
1893;100;6909
1894;100;6521
1895;100;7024
1896;100;8226
1897;100;6634
1898;100;8032
1899;100;7394
1900;100;6852
1901;100;7661
1902;100;7456
1903;100;7163
1904;100;7806
1905;100;8482
1906;100;7693
1907;100;6006
1908;100;5988
